07,022C,0172,0068,0055,00ED
07,022D,0192,006F,005B,0100
07,022E,018B,006F,005B,00FD
07,022F,0177,006A,0058,00F1
07,0230,018F,006D,0059,00FE
07,0231,0173,0068,0055,00ED
07,0232,017B,006B,0058,00F3
07,0233,019E,0071,005E,0108
07,0234,0172,0069,0057,00EF
07,0235,0170,0068,0055,00EC
07,0237,0177,006A,0057,00F0
07,0238,017F,006C,005A,00F6
07,0239,0194,0070,005C,0102
07,023A,0174,0068,0055,00EF
07,023B,017C,006A,0056,00F3
07,023C,0196,006F,005B,0102
07,023D,017C,006C,0059,00F4
07,023E,018A,006E,005B,00FC
07,023F,0175,0068,0055,00EF
07,0240,0176,0069,0055,00EF
07,0241,01A1,0071,005D,0109
07,0242,017A,006C,0059,00F3
07,0243,0168,0068,0056,00E8
07,0244,0188,006C,0058,00FA
07,0245,0187,006C,0057,00F9
07,0246,0185,006C,0059,00F9
07,0247,0183,006D,005A,00F8
07,0248,0177,006B,0058,00F1
07,0249,0189,006C,0058,00FB
07,024B,0171,0069,0056,00ED
07,024C,017B,006C,0059,00F3
07,024D,0191,006F,005B,0100
07,024E,017F,006B,0057,00F5
07,024F,0177,0069,0055,00F0
07,0250,0182,006C,0058,00F7
07,0251,0177,006B,0059,00F2
07,0252,0197,0070,005D,0103
07,0253,018D,006D,0059,00FC
07,0254,0160,0065,0052,00E3
07,0255,018B,006D,005A,00FD
07,0256,0198,0070,005D,0104
07,0257,0165,0068,0056,00E7
07,0258,0192,006E,005A,0100
07,0259,018E,006D,0058,00FD
07,025A,0168,0067,0055,00E9
07,025B,018A,006E,005B,00FD
07,025C,0183,006D,005A,00F8
07,025D,0183,006B,0057,00F7
07,025E,0185,006B,0057,00F8
07,025F,0177,006A,0057,00F1
07,0260,0179,006B,0059,00F3
07,0261,0190,006F,005C,0100
07,0262,0184,006B,0057,00F7
07,0263,0170,0068,0054,00EC
07,0264,0184,006C,0059,00F8
07,0265,0189,006E,005B,00FB
07,0266,0189,006E,005A,00FB
07,0267,016C,0067,0054,00EA
07,0268,0189,006C,0058,00FB
07,0269,0194,006F,005B,0101
07,026A,0177,006A,0059,00F1
07,026B,0185,006D,005A,00FA
07,026C,0174,0069,0056,00EF
07,026D,0177,0069,0055,00F0
07,026E,019A,0070,005C,0104
07,026F,0183,006D,005A,00F8
07,0270,016F,0069,0057,00EC
07,0271,0181,006B,0057,00F6
07,0272,0185,006B,0057,00F8
07,0273,017B,006A,0057,00F3
07,0274,0194,0070,005C,0102
07,0275,018B,006E,005B,00FD
07,0276,0164,0066,0053,00E5
07,0277,0192,006E,0059,0100
07,0278,0189,006D,0059,00FB
07,0279,016B,0069,0057,00EA
07,027A,0195,0070,005C,0103
07,027B,016B,0067,0054,00E9
07,027C,0177,0069,0055,00F0
07,027D,01A9,0072,005D,010E
07,027E,0178,006B,0058,00F1
07,027F,016A,0068,0057,00EA
07,0280,0194,006E,005A,0101
07,0281,0186,006B,0057,00F8
07,0282,0174,0069,0056,00EF
07,0283,01A3,0072,005F,010B
07,0284,0189,006E,005B,00FB
07,0285,0155,0063,0051,00DD
07,0286,0185,006B,0057,00F9
07,0288,017F,006C,0059,00F6
07,0289,0184,006D,005A,00F9
07,028A,016E,0068,0055,00EB
07,028B,017B,0069,0055,00F2
07,028C,0188,006C,0059,00FA
07,028D,0190,006F,005C,0100
07,028E,0187,006D,005A,00FB
07,028F,016E,0068,0055,00EB
