#XYS200,DPSD2018,COEF,11,11,125,20,1000,0.573023625623979,0.00000
#2019/11/09 13:19:52
#E-defense2019-実験前
LEDNo10,　横付け
2707mm
#Xtrue,Ytrue,V1,V2,V3,V4
250,-500,1810,763,1023,2576
250,-500,1810,764,1023,2577
250,-500,1810,764,1023,2576
250,-500,1810,764,1023,2576
250,-500,1810,763,1023,2576
250,-500,1810,763,1023,2576
250,-500,1810,763,1023,2576
250,-500,1810,763,1023,2576
250,-500,1810,764,1023,2576
250,-500,1810,764,1023,2576
250,-500,1810,764,1023,2576
250,-500,1810,764,1023,2576
250,-500,1810,763,1023,2577
250,-500,1810,763,1023,2576
250,-500,1810,763,1023,2576
250,-500,1810,763,1023,2576
250,-500,1810,764,1023,2576
250,-500,1810,763,1023,2576
250,-500,1810,763,1023,2577
375,-500,1592,691,1132,2901
375,-500,1593,691,1132,2901
375,-500,1593,691,1131,2901
375,-500,1593,691,1132,2902
375,-500,1592,691,1131,2901
375,-500,1593,690,1132,2901
375,-500,1593,691,1132,2901
375,-500,1593,691,1132,2902
375,-500,1593,691,1132,2902
375,-500,1592,691,1132,2901
375,-500,1593,691,1131,2901
375,-500,1593,691,1132,2902
375,-500,1593,691,1132,2901
375,-500,1592,690,1132,2901
375,-500,1593,691,1132,2901
375,-500,1593,691,1131,2901
375,-500,1593,691,1132,2902
375,-500,1593,691,1132,2902
375,-500,1593,691,1131,2901
375,-500,1593,691,1132,2901
500,-500,1367,615,1244,3241
500,-500,1368,615,1243,3241
500,-500,1368,615,1243,3242
500,-500,1367,615,1243,3241
500,-500,1367,615,1244,3240
500,-500,1367,615,1244,3241
500,-500,1368,615,1244,3242
500,-500,1367,615,1244,3241
500,-500,1367,615,1243,3241
500,-500,1368,615,1243,3241
500,-500,1368,615,1243,3241
500,-500,1368,615,1244,3241
500,-500,1367,616,1243,3241
500,-500,1367,615,1244,3241
500,-500,1368,615,1243,3241
500,-500,1368,615,1243,3241
500,-500,1367,615,1244,3241
500,-500,1367,616,1244,3241
500,-500,1368,615,1244,3241
500,-500,1368,615,1244,3241
625,-500,1133,536,1358,3357
625,-500,1132,536,1358,3356
625,-500,1132,536,1358,3356
625,-500,1132,536,1358,3357
625,-500,1132,535,1358,3356
625,-500,1132,536,1358,3357
625,-500,1132,535,1358,3356
625,-500,1132,536,1358,3356
625,-500,1132,536,1357,3356
625,-500,1132,536,1358,3356
625,-500,1132,536,1358,3356
625,-500,1132,536,1358,3356
625,-500,1132,535,1358,3356
625,-500,1132,536,1358,3356
625,-500,1132,536,1358,3357
625,-500,1132,535,1358,3357
625,-500,1132,536,1357,3356
625,-500,1132,536,1358,3356
625,-500,1131,535,1358,3356
625,-500,1132,536,1358,3356
-625,-375,2887,1476,430,677
-625,-375,2887,1476,429,677
-625,-375,2887,1477,430,677
-625,-375,2888,1476,430,677
-625,-375,2888,1476,429,677
-625,-375,2887,1476,430,677
-625,-375,2887,1476,430,677
-625,-375,2887,1477,430,677
-625,-375,2887,1476,430,677
