73,FF0B,0206,2B06,3806,8006
0C,1390,062D,063B,0681,0674
0C,1391,062C,063A,0680,0673
0C,1392,062B,0638,0680,0673
0C,1393,062B,0638,067F,0672
0C,1394,062C,063A,0680,0673
0C,1395,062E,063B,0681,0674
0C,1396,062C,0639,0680,0674
0C,1397,062B,0638,067F,0672
0C,1398,062A,0637,067F,0672
0C,1399,062C,0639,0680,0674
0C,139A,062D,063B,0681,0675
0C,139B,062C,063A,0680,0674
0C,139C,062B,0639,067F,0673
0C,139D,062A,0637,067F,0673
0C,139E,062D,063A,0680,0674
0C,139F,062D,063B,0680,0675
0C,13A0,062C,063A,0681,0674
0C,13A1,062B,0639,0680,0673
0C,13A2,062B,0638,067F,0672
0C,13A3,062D,063A,0681,0674
0C,13A4,062E,063D,0681,0675
0C,13A5,062D,063B,0680,0674
0C,13A6,062C,0639,0680,0672
0C,13A7,062A,0638,067F,0672
0C,13A8,062C,063A,0680,0673
0C,13A9,062D,063B,0681,0675
0C,13AA,062D,063A,0680,0674
0C,13AB,062C,0639,0680,0672
0C,13AC,062B,0638,067F,0672
0C,13AD,062C,063A,0681,0674
0C,13AE,062D,063B,0681,0675
0C,13AF,062C,063A,0681,0675
0C,13B0,062B,0638,0680,0673
0C,13B1,062B,0638,067F,0672
0C,13B2,062D,063B,0680,0674
0C,13B3,062D,063B,0681,0675
0C,13B4,062C,063A,0680,0673
0C,13B5,062B,0638,067F,0672
0C,13B6,062A,0637,067F,0672
0C,13B7,062C,063A,0680,0674
0C,13B8,062E,063B,0681,0675
0C,13B9,062C,063A,0680,0674
0C,13BA,062B,0639,0680,0673
0C,13BB,062B,0638,0680,0672
0C,13BC,062C,063A,0681,0674
0C,13BD,062E,063B,0681,0675
0C,13BE,062D,063A,0681,0674
0C,13BF,062C,0639,0680,0673
0C,13C0,062B,0638,067F,0672
0C,13C1,062D,063A,0680,0674
0C,13C2,062D,063A,0680,0675
0C,13C3,062C,063A,0680,0674
0C,13C4,062B,0638,0680,0673
0C,13C5,062B,0637,067E,0672
0C,13C6,062C,0639,0680,0674
0C,13C7,062D,063B,0681,0675
0C,13C8,062C,0639,0680,0674
0C,13C9,062B,0638,067F,0673
0C,13CA,062B,0639,0680,0673
0C,13CB,062D,063B,0680,0674
0C,13CC,062D,063B,0681,0675
0C,13CD,062D,063A,0681,0673
0C,13CE,062B,0637,067F,0672
0C,13CF,062B,0638,067F,0672
0C,13D0,062D,063A,0680,0673
0C,13D1,062E,063C,0680,0674
0C,13D2,062E,063A,0680,0674
0C,13D3,062C,0638,067F,0673
0C,13D4,062B,0637,067E,0672
0C,13D5,062D,0639,0680,0675
0C,13D6,062D,063B,0680,0675
0C,13D7,062C,0639,0680,0673
0C,13D8,062A,0637,0680,0673
0C,13D9,062A,0638,067F,0672
0C,13DA,062D,063A,0681,0675
0C,13DB,062F,063B,0681,0676
0C,13DC,062D,063A,0680,0675
0C,13DD,062B,0638,067F,0673
0C,13DE,062B,0637,067F,0672
0C,13DF,062C,063A,0680,0673
0C,13E0,062C,063B,0681,0674
0C,13E1,062C,063A,0680,0673
0C,13E2,062C,0638,0680,0673
0C,13E3,062B,0638,067E,0672
0C,13E4,062D,063A,0680,0674
0C,13E5,062D,063B,0681,0674
0C,13E6,062C,063A,0680,0673
0C,13E7,062B,0638,0680,0672
0C,13E8,062B,0638,067F,0673
0C,13E9,062D,063B,0680,0674
0C,13EA,062E,063C,0680,0674
0C,13EB,062D,063A,0680,0674
0C,13EC,062B,0638,067F,0673
0C,13ED,062B,0638,067F,0672
0C,13EE,062D,063A,0681,0675
0C,13EF,062E,063C,0681,0676
0C,13F0,062C,0639,0680,0673
0C,13F1,062A,0637,0680,0672
0C,13F2,062A,0637,067F,0672
0C,13F3,062C,063A,0681,0674
0C,13F4,062D,063B,0681,0674
0C,13F5,062C,0639,0680,0673
0C,13F6,062A,0639,067F,0672
0C,13F7,062B,0638,067F,0672
0C,13F8,062C,063C,0681,0674
0C,13F9,062E,063C,0681,0675
0C,13FA,062D,063A,0680,0674
0C,13FB,062B,0638,067F,0672
0C,13FC,062A,0639,067F,0672
0C,13FD,062D,063B,0682,0675
0C,13FE,062E,063B,0681,0676
0C,13FF,062C,0639,0681,0674
0C,1400,062B,0638,0680,0672
0C,1401,062A,0637,067F,0672
0C,1402,062C,063B,0681,0674
0C,1403,062E,063C,0682,0674
0C,1404,062C,063A,0680,0673
0C,1405,062B,0639,0680,0673
0C,1406,062B,0638,067F,0672
0C,1407,062D,063B,0680,0674
0C,1408,062E,063B,0681,0675
0C,1409,062D,063A,067F,0673
0C,140A,062B,0638,067F,0672
0C,140B,062A,0638,067F,0672
0C,140C,062C,063A,0680,0674
0C,140D,062D,063B,0682,0675
0C,140E,062D,063A,0681,0674
0C,140F,062B,0639,0680,0672
0C,1410,062B,0638,067F,0672
0C,1411,062E,063B,0680,0674
0C,1412,062E,063B,0680,0675
0C,1413,062D,063A,0680,0673
0C,1414,062B,0639,067F,0672
0C,1415,062B,0638,067F,0672
0C,1416,062D,063B,0681,0674
0C,1417,062D,063B,0681,0674
0C,1418,062C,0639,0680,0674
0C,1419,062B,0638,067F,0672
0C,141A,062B,0638,067E,0673
0C,141B,062E,063B,0680,0674
0C,141C,062D,063B,0681,0675
0C,141D,062B,0638,0680,0673
0C,141E,062A,0638,0680,0672
0C,141F,062A,0639,0680,0672
0C,1420,062D,063B,0681,0675
0C,1421,062D,063B,0681,0675
0C,1422,062C,063A,0680,0673
0C,1423,062C,0639,067F,0671
0C,1424,062C,0639,067F,0673
0C,1425,062D,063B,0681,0675
0C,1426,062E,063C,0681,0674
0C,1427,062C,063A,0680,0674
0C,1428,062B,0639,0680,0672
0C,1429,062B,0639,0680,0672
0C,142A,062C,063B,0680,0674
0C,142B,062C,063A,0680,0674
0C,142C,062B,0639,0680,0673
0C,142D,062B,0638,067E,0671
0C,142E,062A,0637,067F,0672
0C,142F,062D,063A,0680,0674
0C,1430,062E,063B,0680,0675
0C,1431,062C,0639,0680,0674
0C,1432,062B,0637,0680,0673
0C,1433,062B,0638,067F,0673
0C,1434,062C,063A,0681,0674
0C,1435,062D,063B,0681,0675
0C,1436,062C,0639,0680,0673
0C,1437,062B,0638,067F,0672
0C,1438,062B,0638,0680,0673
0C,1439,062D,063B,0681,0675
0C,143A,062D,063B,0681,0674
0C,143B,062B,063A,0681,0673
0C,143C,062A,0638,0680,0672
0C,143D,062B,0638,067F,0673
0C,143E,062D,063A,0681,0674
0C,143F,062E,063B,0680,0674
0C,1440,062C,0639,0680,0673
0C,1441,062B,0638,067F,0672
0C,1442,062A,0639,067F,0673
0C,1443,062C,063A,0681,0674
0C,1444,062C,063A,0681,0675
0C,1445,062C,0639,0680,0674
0C,1446,062B,0637,067E,0672
0C,1447,062B,0638,067E,0673
0C,1448,062D,063B,0680,0674
0C,1449,062D,063A,0681,0674
0C,144A,062B,0639,0680,0674
0C,144B,062A,0637,067E,0672
0C,144C,062B,0638,067F,0672
0C,144D,062D,063A,0680,0674
0C,144E,062D,063B,0681,0675
0C,144F,062C,0639,0680,0673
0C,1450,062B,0638,0680,0672
0C,1451,062B,0639,0680,0673
0C,1452,062D,063B,0681,0675
0C,1453,062D,063B,0681,0674
0C,1454,062B,063A,0681,0673
0C,1455,062A,0638,0680,0672
0C,1456,062B,0638,067F,0673
0C,1457,062C,063A,0681,0675
0C,1458,062D,063B,0681,0675
0C,1459,062C,063A,0680,0673
0C,145A,062B,0638,067E,0672
0C,145B,062B,0638,067F,0672
0C,145C,062E,063B,0681,0674
0C,145D,062D,063A,0680,0674
0C,145E,062C,0639,0680,0673
0C,145F,062B,0638,067F,0672
0C,1460,062B,0638,0680,0673
0C,1461,062D,063B,0681,0675
0C,1462,062D,063A,0681,0675
0C,1463,062C,0638,0680,0673
0C,1464,062B,0637,067F,0673
0C,1465,062C,0639,0680,0673
0C,1466,062D,063B,0680,0674
0C,1467,062D,063A,0681,0674
0C,1468,062B,0638,0680,0673
0C,1469,062B,0637,067F,0672
0C,146A,062B,0638,067F,0672
0C,146B,062D,063A,0681,0675
0C,146C,062D,063B,0680,0675
0C,146D,062C,063A,0680,0673
0C,146E,062A,0638,067F,0672
0C,146F,062C,0639,0680,0673
0C,1470,062D,063B,0681,0675
0C,1471,062D,063B,0681,0674
0C,1472,062B,0639,0680,0673
0C,1473,062A,0637,0680,0672
0C,1474,062B,0639,0680,0674
0C,1475,062C,063A,0681,0675
0C,1476,062D,0639,0680,0675
0C,1477,062B,0638,0680,0674
0C,1478,062A,0637,067F,0673
0C,1479,062C,0638,067F,0673
0C,147A,062D,063B,0680,0675
0C,147B,062D,063B,0680,0674
0C,147C,062C,0639,0680,0673
0C,147D,062A,0637,067F,0672
0C,147E,062B,0639,0680,0674
0C,147F,062E,063B,0680,0675
0C,1480,062D,063A,0680,0675
0C,1481,062C,0639,0680,0673
0C,1482,062B,0637,067E,0672
0C,1483,062B,0638,0680,0673
0C,1484,062D,063A,0681,0675
0C,1485,062D,063B,0680,0674
0C,1486,062B,0638,0680,0673
0C,1487,062A,0637,067F,0672
0C,1488,062B,0639,067F,0673
0C,1489,062D,063A,0681,0675
0C,148A,062D,063B,0681,0674
0C,148B,062C,0639,0680,0673
0C,148C,062B,0637,067E,0672
0C,148D,062B,063A,0680,0673
0C,148E,062D,063A,0681,0675
0C,148F,062C,063A,0680,0674
0C,1490,062C,0638,0680,0674
0C,1491,062B,0637,067F,0673
0C,1492,062C,0639,0680,0673
0C,1493,062C,063A,0681,0675
0C,1494,062C,063A,0680,0674
0C,1495,062B,0638,0680,0673
0C,1496,062A,0637,067E,0672
0C,1497,062B,063A,0680,0673
0C,1498,062D,063C,0680,0674
0C,1499,062D,063A,0680,0674
0C,149A,062B,0638,0680,0673
0C,149B,062B,0638,067E,0672
0C,149C,062C,0639,0680,0674
0C,149D,062D,063B,0681,0675
0C,149E,062D,063A,0680,0674
0C,149F,062C,0638,0680,0673
0C,14A0,062A,0637,067F,0673
0C,14A1,062C,063A,0680,0674
0C,14A2,062D,063A,0681,0675
0C,14A3,062C,0639,0680,0675
0C,14A4,062C,0638,067F,0673
0C,14A5,062B,0637,067E,0672
0C,14A6,062B,0639,067F,0673
0C,14A7,062D,063B,0680,0674
0C,14A8,062D,063A,0680,0673
0C,14A9,062C,0638,067F,0673
0C,14AA,062A,0638,067F,0672
0C,14AB,062C,0639,067F,0673
0C,14AC,062D,063B,0681,0675
0C,14AD,062C,063A,0681,0674
0C,14AE,062A,0638,0680,0673
0C,14AF,062A,0637,067F,0672
0C,14B0,062B,0639,0680,0673
0C,14B1,062D,063C,0681,0674
0C,14B2,062D,063B,0680,0673
0C,14B3,062B,0638,0680,0673
0C,14B4,062B,0638,067E,0671
0C,14B5,062C,0639,0680,0673
0C,14B6,062D,063B,0681,0675
0C,14B7,062D,063A,0680,0673
0C,14B8,062B,0638,0680,0673
0C,14B9,062A,0637,067F,0673
0C,14BA,062C,0639,0680,0673
0C,14BB,062D,063A,0681,0675
0C,14BC,062C,063A,0681,0674
0C,14BD,062B,0638,067F,0673
0C,14BE,062B,0638,067F,0672
0C,14BF,062C,063A,067F,0673
0C,14C0,062D,063B,0681,0674
0C,14C1,062D,063A,0680,0674
0C,14C2,062C,0638,067F,0673
0C,14C3,062A,0639,067E,0672
0C,14C4,062C,063A,0680,0673
0C,14C5,062D,063B,0680,0675
0C,14C6,062C,063A,0680,0673
0C,14C7,062B,0638,067F,0672
0C,14C8,062A,0637,067F,0672
0C,14C9,062C,0639,0680,0674
0C,14CA,062D,063B,0680,0675
0C,14CB,062C,063A,0680,0674
0C,14CC,062B,0638,0680,0673
0C,14CD,062A,0638,067F,0672
0C,14CE,062C,0639,0680,0674
0C,14CF,062D,063B,0680,0674
0C,14D0,062C,063A,0680,0674
0C,14D1,062B,0638,067F,0672
0C,14D2,062A,0637,067F,0673
0C,14D3,062C,0639,0680,0674
0C,14D4,062D,063A,0681,0675
0C,14D5,062C,0639,0680,0674
0C,14D6,062B,0638,0680,0673
0C,14D7,062A,0637,067F,0672
0C,14D8,062C,063A,0680,0674
0C,14D9,062D,063B,0681,0675
0C,14DA,062C,063A,0680,0674
0C,14DB,062C,0638,0680,0672
0C,14DC,062A,0637,067F,0672
0C,14DD,062C,063A,0680,0674
0C,14DE,062D,063A,0681,0674
0C,14DF,062C,063A,0680,0674
0C,14E0,062A,0637,067F,0673
0C,14E1,062A,0637,067F,0672
0C,14E2,062B,0639,0680,0674
0C,14E3,062D,063B,0681,0674
0C,14E4,062C,0639,067F,0673
0C,14E5,062B,0638,067F,0673
0C,14E6,062A,0638,067F,0672
0C,14E7,062D,063A,067F,0673
0C,14E8,062D,063B,0680,0675
0C,14E9,062D,063A,0680,0673
0C,14EA,062B,0639,0680,0672
0C,14EB,062B,0637,067F,0672
0C,14EC,062C,063A,0680,0674
0C,14ED,062E,063B,0681,0674
0C,14EE,062C,0638,0680,0675
0C,14EF,062A,0638,0680,0673
0C,14F0,062A,0637,0680,0672
0C,14F1,062C,0639,0681,0674
0C,14F2,062D,063B,0681,0675
0C,14F3,062C,063A,0680,0674
0C,14F4,062C,0638,067F,0672
0C,14F5,062B,0638,067F,0672
0C,14F6,062D,063A,0680,0673
0C,14F7,062E,063C,0680,0674
0C,14F8,062C,063A,0680,0673
0C,14F9,062B,0638,067F,0672
0C,14FA,062A,0637,067E,0672
0C,14FB,062C,063A,067F,0674
0C,14FC,062D,063A,0680,0674
0C,14FD,062C,0639,067F,0673
0C,14FE,062A,0637,067F,0672
0C,14FF,062A,0637,067E,0672
0C,1500,062C,063A,0681,0674
0C,1501,062D,063A,0680,0675
0C,1502,062C,063A,067F,0674
0C,1503,062B,0638,067F,0672
0C,1504,062B,0637,067E,0672
0C,1505,062D,063A,0680,0674
0C,1506,062D,063B,0681,0675
0C,1507,062C,0639,0680,0674
0C,1508,062B,0638,067F,0672
0C,1509,062B,0638,067E,0672
0C,150A,062D,0639,0680,0675
0C,150B,062D,063A,0681,0675
0C,150C,062C,0639,0680,0674
0C,150D,062B,0638,067F,0672
0C,150E,0629,0637,067F,0672
0C,150F,062C,063A,0681,0674
0C,1510,062D,063A,0680,0674
0C,1511,062C,0639,0680,0673
0C,1512,062C,0638,067F,0673
0C,1513,062A,0638,067E,0672
0C,1514,062C,063A,0680,0674
0C,1515,062D,063B,0681,0675
0C,1516,062C,063A,0680,0674
0C,1517,062B,0638,067F,0672
0C,1518,062A,0637,067F,0672
0C,1519,062D,063A,0680,0674
0C,151A,062E,063B,0680,0675
0C,151B,062C,063A,0680,0673
0C,151C,062B,0638,0680,0671
0C,151D,062A,0637,067E,0672
0C,151E,062C,063B,0680,0674
0C,151F,062E,063B,0680,0675
0C,1520,062C,0639,0680,0674
0C,1521,062B,0639,0680,0673
0C,1522,062A,0638,067F,0672
0C,1523,062C,063A,0681,0674
0C,1524,062D,063B,0681,0675
0C,1525,062C,063A,0680,0673
0C,1526,062C,0638,067F,0672
0C,1527,062B,0638,067F,0672
0C,1528,062D,063B,0681,0674
0C,1529,062E,063C,0680,0674
0C,152A,062C,0639,0680,0673
0C,152B,062B,0638,067F,0672
0C,152C,062B,0638,067F,0672
0C,152D,062C,063A,0680,0674
0C,152E,062D,063B,0681,0675
0C,152F,062C,0639,0680,0673
0C,1530,062B,0637,067F,0673
0C,1531,062A,0637,067F,0672
0C,1532,062C,063B,0681,0674
0C,1533,062E,063C,0681,0675
0C,1534,062C,063A,0680,0673
0C,1535,062B,0639,067F,0672
0C,1536,062B,0638,067E,0671
0C,1537,062D,063A,0680,0674
0C,1538,062E,063B,0680,0674
0C,1539,062C,063A,0680,0673
0C,153A,062A,0637,067F,0672
0C,153B,062A,0638,067F,0672
0C,153C,062D,063A,0681,0674
0C,153D,062D,063A,0681,0675
0C,153E,062C,0639,0680,0673
0C,153F,062B,0638,067F,0672
0C,1540,062A,0637,067F,0672
0C,1541,062C,063A,0681,0674
0C,1542,062D,063B,0681,0675
0C,1543,062C,0639,0680,0674
0C,1544,062B,0637,067F,0673
0C,1545,062B,0638,067E,0672
0C,1546,062D,063B,0680,0674
0C,1547,062D,063B,0680,0674
0C,1548,062C,0639,0680,0673
0C,1549,062B,0637,067E,0672
0C,154A,062A,0637,067E,0672
0C,154B,062D,0639,067F,0674
0C,154C,062D,063A,0680,0674
0C,154D,062C,0639,0680,0673
0C,154E,062B,0638,067F,0672
0C,154F,062B,0637,067F,0672
0C,1550,062D,063A,0681,0675
0C,1551,062D,063B,0681,0674
0C,1552,062C,0639,067F,0673
0C,1553,062B,0637,067F,0673
0C,1554,062B,0638,067F,0672
0C,1555,062C,063A,0681,0675
0C,1556,062D,063A,0681,0675
0C,1557,062C,063A,0680,0673
0C,1558,062B,0638,067F,0672
0C,1559,062B,0637,067F,0672
0C,155A,062D,063B,0680,0674
0C,155B,062D,063B,0681,0674
0C,155C,062C,0639,0680,0673
0C,155D,062B,0638,067F,0672
0C,155E,062B,0639,0680,0672
0C,155F,062D,063B,0680,0675
0C,1560,062D,063C,0681,0675
0C,1561,062C,0639,0680,0673
0C,1562,062C,0638,067E,0672
0C,1563,062B,0638,067F,0673
0C,1564,062D,063A,0681,0675
0C,1565,062D,063B,0680,0674
0C,1566,062C,0639,0681,0673
0C,1567,062A,0637,0680,0673
0C,1568,062B,0638,067F,0672
0C,1569,062D,063A,0680,0675
0C,156A,062D,063A,0681,0675
0C,156B,062C,0639,067F,0673
0C,156C,062A,0637,067F,0673
0C,156D,062A,0638,067F,0673
0C,156E,062D,063A,0681,0675
0C,156F,062D,063A,0681,0675
0C,1570,062C,0639,0680,0673
0C,1571,062A,0638,067F,0672
0C,1572,062B,0638,067F,0673
0C,1573,062D,063A,0680,0675
0C,1574,062D,063A,0681,0675
0C,1575,062C,0639,067F,0674
0C,1576,062B,0637,067E,0672
0C,1577,062B,0638,067F,0672
0C,1578,062C,063B,0680,0674
0C,1579,062C,063A,0681,0675
0C,157A,062B,0639,0680,0673
0C,157B,062B,0638,067F,0672
0C,157C,062B,0638,067F,0674
0C,157D,062E,063B,0681,0675
0C,157E,062E,063C,0681,0675
0C,157F,062C,0639,0680,0674
0C,1580,062B,0638,067F,0672
0C,1581,062C,0639,067F,0672
0C,1582,062D,0639,0680,0675
0C,1583,062D,063A,0681,0675
0C,1584,062B,0638,0680,0674
0C,1585,062A,0637,067F,0672
0C,1586,062B,0638,067F,0673
0C,1587,062D,063A,0680,0675
0C,1588,062D,063A,0680,0674
0C,1589,062C,0639,0680,0673
0C,158A,062B,0638,067F,0672
0C,158B,062B,0638,067F,0672
0C,158C,062C,063A,0681,0675
0C,158D,062D,063B,0681,0675
0C,158E,062C,0639,0680,0673
0C,158F,062B,0637,067F,0673
0C,1590,062B,0639,067F,0672
0C,1591,062D,063B,0680,0674
0C,1592,062D,063B,0680,0675
0C,1593,062C,0639,067F,0673
0C,1594,062B,0638,067F,0671
0C,1595,062C,0639,067F,0672
0C,1596,062D,063B,0680,0674
0C,1597,062D,063B,0680,0675
0C,1598,062B,0638,0680,0674
0C,1599,062B,0637,067F,0673
0C,159A,062B,0638,067F,0673
0C,159B,062D,063A,0680,0676
0C,159C,062D,0639,0680,0675
0C,159D,062C,0638,0680,0674
0C,159E,062B,0637,067F,0673
0C,159F,062C,0638,067F,0674
0C,15A0,062D,0639,0681,0676
0C,15A1,062D,063A,0680,0674
0C,15A2,062C,0638,0680,0673
0C,15A3,062A,0637,067F,0672
0C,15A4,062B,0639,067F,0672
0C,15A5,062D,063B,0680,0674
0C,15A6,062D,063A,0680,0674
0C,15A7,062C,0639,0680,0673
0C,15A8,062B,0638,067E,0672
0C,15A9,062B,0639,0680,0673
0C,15AA,062D,063B,0681,0675
0C,15AB,062D,063A,0681,0675
0C,15AC,062B,0638,0681,0674
0C,15AD,062B,0638,067F,0672
0C,15AE,062C,0638,0680,0674
0C,15AF,062D,063A,0680,0675
0C,15B0,062D,063B,0681,0674
0C,15B1,062C,0638,0680,0673
0C,15B2,062A,0637,067F,0672
0C,15B3,062C,063A,0680,0672
0C,15B4,062E,063B,0680,0674
0C,15B5,062D,063A,0680,0674
0C,15B6,062C,0639,0680,0673
0C,15B7,062B,0638,067F,0672
0C,15B8,062B,0638,0680,0673
0C,15B9,062D,063B,0681,0675
0C,15BA,062C,063A,0681,0674
0C,15BB,062B,0639,0680,0673
0C,15BC,062A,0638,0680,0672
0C,15BD,062C,0639,0680,0673
0C,15BE,062D,063B,0681,0675
0C,15BF,062D,063B,0681,0674
0C,15C0,062C,0638,0680,0673
0C,15C1,062A,0638,067F,0672
0C,15C2,062B,063A,0680,0673
0C,15C3,062D,063B,0681,0675
0C,15C4,062C,063B,0680,0674
0C,15C5,062B,0638,0680,0673
0C,15C6,062A,0638,067F,0672
0C,15C7,062C,0639,0680,0673
0C,15C8,062D,063B,0681,0675
0C,15C9,062D,063B,0681,0674
0C,15CA,062C,0639,0680,0672
0C,15CB,062B,0638,067F,0672
0C,15CC,062B,0639,0680,0674
0C,15CD,062D,063B,0681,0675
0C,15CE,062C,063A,0680,0674
0C,15CF,062B,0639,0680,0672
0C,15D0,062A,0638,067F,0671
0C,15D1,062B,0639,0680,0673
0C,15D2,062D,063B,0681,0675
0C,15D3,062C,063A,0680,0674
0C,15D4,062C,0638,067F,0673
0C,15D5,062A,0637,067F,0672
0C,15D6,062C,0639,067F,0673
0C,15D7,062D,063B,0681,0674
0C,15D8,062C,063B,0680,0674
0C,15D9,062C,0638,0680,0672
0C,15DA,062C,0639,067F,0671
0C,15DB,062D,063A,067F,0673
0C,15DC,062D,063C,0680,0675
0C,15DD,062D,063A,0680,0674
0C,15DE,062C,0638,0680,0672
0C,15DF,0629,0637,067F,0672
0C,15E0,062C,0639,0680,0674
0C,15E1,062D,063B,0680,0674
0C,15E2,062C,063A,0681,0674
0C,15E3,062B,0638,0680,0672
0C,15E4,062B,0638,067E,0671
0C,15E5,062B,0639,0680,0673
0C,15E6,062D,063B,0681,0675
0C,15E7,062D,063B,0680,0673
0C,15E8,062B,0639,0680,0672
0C,15E9,062A,0638,067F,0671
0C,15EA,062C,063A,0680,0673
0C,15EB,062D,063B,0681,0674
0C,15EC,062D,063B,0680,0673
0C,15ED,062B,0639,067F,0671
0C,15EE,062A,0637,067D,0671
0C,15EF,062C,063A,067F,0672
0C,15F0,062D,063B,0680,0674
0C,15F1,062C,063A,0680,0673
0C,15F2,062B,0639,0680,0672
0C,15F3,062A,0638,067F,0672
0C,15F4,062C,063A,0681,0674
0C,15F5,062D,063C,0681,0675
0C,15F6,062C,063A,0681,0673
0C,15F7,062B,0638,0680,0672
0C,15F8,062A,0638,067F,0673
0C,15F9,062C,063A,0680,0674
0C,15FA,062D,063B,0681,0675
0C,15FB,062C,063A,0680,0674
0C,15FC,062B,0638,067F,0672
0C,15FD,062B,0639,067F,0671
0C,15FE,062C,063A,0680,0674
0C,15FF,062D,063C,0681,0674
0C,1600,062D,063A,0680,0673
0C,1601,062B,0639,067F,0672
0C,1602,062A,0638,067F,0672
0C,1603,062D,063A,0680,0674
0C,1604,062E,063B,0681,0675
0C,1605,062C,063A,0680,0674
0C,1606,062A,0638,067F,0673
0C,1607,062A,0637,067F,0672
0C,1608,062C,063A,0681,0674
0C,1609,062D,063C,0681,0675
0C,160A,062D,063A,0680,0674
0C,160B,062B,0638,067F,0673
0C,160C,062B,0638,067F,0672
0C,160D,062D,063A,0680,0674
0C,160E,062D,063B,0680,0675
0C,160F,062C,0639,0680,0674
0C,1610,062B,0638,067F,0673
0C,1611,062B,0636,067F,0673
0C,1612,062D,063A,0680,0675
0C,1613,062E,063A,0681,0675
0C,1614,062C,0639,0680,0674
0C,1615,062B,0638,067F,0672
0C,1616,062B,0638,067E,0672
0C,1617,062D,063A,0680,0674
0C,1618,062E,063B,0680,0675
0C,1619,062D,063A,0680,0673
0C,161A,062B,0639,0680,0672
0C,161B,062A,0637,067F,0672
0C,161C,062C,063A,0681,0674
0C,161D,062E,063B,0681,0675
0C,161E,062C,063A,0680,0674
0C,161F,062B,0638,067F,0672
0C,1620,062B,0637,067E,0671
0C,1621,062D,063A,0680,0674
0C,1622,062D,063C,0681,0676
0C,1623,062C,0639,0680,0674
0C,1624,062B,0637,0680,0673
0C,1625,062A,0638,0680,0673
0C,1626,062C,063A,0681,0674
0C,1627,062D,063B,0680,0675
0C,1628,062C,063A,0680,0673
0C,1629,062B,0638,067F,0671
0C,162A,062B,0638,067E,0671
0C,162B,062D,063B,0680,0673
0C,162C,062E,063C,0681,0674
0C,162D,062C,063A,0680,0673
0C,162E,062B,0638,067F,0672
0C,162F,062A,0639,067F,0672
0C,1630,062C,063A,0681,0675
0C,1631,062D,063B,0681,0675
0C,1632,062C,063A,0681,0674
0C,1633,062B,0638,067F,0673
0C,1634,062B,0637,067F,0673
0C,1635,062D,063A,0681,0674
0C,1636,062D,063B,0681,0675
0C,1637,062D,063A,0680,0674
0C,1638,062B,0638,0680,0673
0C,1639,062B,0638,067F,0671
0C,163A,062D,063B,0681,0674
0C,163B,062E,063B,0681,0675
0C,163C,062C,063A,0680,0673
0C,163D,062B,0637,067F,0672
0C,163E,062A,0637,067E,0673
0C,163F,062D,063A,0681,0674
0C,1640,062D,063B,0681,0675
0C,1641,062C,0639,0680,0673
0C,1642,062A,0637,067F,0672
0C,1643,062B,0638,067F,0671
0C,1644,062D,063B,0681,0674
0C,1645,062E,063B,0681,0675
0C,1646,062D,063B,067F,0673
0C,1647,062B,0638,067F,0671
0C,1648,062A,0638,067F,0671
0C,1649,062C,063A,0681,0674
0C,164A,062D,063B,0681,0674
0C,164B,062C,0639,0680,0673
0C,164C,062A,0638,067F,0672
0C,164D,062B,0638,067F,0672
0C,164E,062D,063B,0680,0674
0C,164F,062E,063C,0681,0675
0C,1650,062C,0639,0680,0674
0C,1651,062B,0637,067F,0673
0C,1652,062B,0638,067F,0672
0C,1653,062D,063B,0681,0674
0C,1654,062D,063B,0681,0675
0C,1655,062C,063A,0680,0673
0C,1656,062A,0638,067F,0671
0C,1657,0629,0638,067F,0672
0C,1658,062C,063B,0681,0674
0C,1659,062D,063D,0681,0673
0C,165A,062C,063A,0680,0672
0C,165B,062A,0638,067F,0671
0C,165C,062B,063A,067F,0671
0C,165D,062D,063B,0681,0674
0C,165E,062D,063B,0681,0675
0C,165F,062C,0639,0680,0673
0C,1660,062B,0638,067F,0671
0C,1661,062A,0638,067F,0672
0C,1662,062C,063B,0681,0674
0C,1663,062D,063B,0681,0674
0C,1664,062B,0639,0680,0673
0C,1665,062A,0637,067F,0672
0C,1666,062A,0638,067E,0672
0C,1667,062D,063A,0680,0674
0C,1668,062C,063A,0680,0674
0C,1669,062B,0638,0680,0673
0C,166A,062B,0637,067F,0672
0C,166B,062A,0638,067F,0673
0C,166C,062D,063B,0681,0674
0C,166D,062D,063B,0680,0675
0C,166E,062C,0639,0680,0674
0C,166F,062B,0638,067F,0672
0C,1670,062B,0638,067F,0673
0C,1671,062D,063A,0681,0674
0C,1672,062C,063A,0681,0675
0C,1673,062C,0639,0680,0673
0C,1674,062A,0637,0680,0673
0C,1675,062B,0638,0680,0673
0C,1676,062D,063B,0681,0674
0C,1677,062D,063B,0680,0674
0C,1678,062C,0639,0680,0673
0C,1679,062B,0638,067F,0672
0C,167A,062B,0638,067F,0672
0C,167B,062D,063B,0681,0674
0C,167C,062D,063C,0681,0674
0C,167D,062C,0639,0680,0673
0C,167E,062B,0638,067E,0672
0C,167F,062C,0639,067F,0672
0C,1680,062D,063B,0680,0674
0C,1681,062D,063B,0680,0674
0C,1682,062B,0639,067F,0673
0C,1683,062A,0638,067F,0672
0C,1684,062B,0638,067F,0673
0C,1685,062C,063B,0681,0675
0C,1686,062C,063B,0682,0674
0C,1687,062C,0639,0680,0672
