73,FF0B,0206,2B06,3806,8006
0C,0C20,062D,063A,0681,0675
0C,0C21,062E,063C,0682,0675
0C,0C22,062D,0639,0680,0674
0C,0C23,062C,0638,0680,0673
0C,0C24,062B,0638,067F,0672
0C,0C25,062C,063B,0681,0674
0C,0C26,062E,063B,0681,0676
0C,0C27,062D,063A,0680,0674
0C,0C28,062B,0639,067F,0673
0C,0C29,062B,0638,067F,0673
0C,0C2A,062D,063B,0681,0675
0C,0C2B,062E,063C,0681,0675
0C,0C2C,062D,063A,0680,0673
0C,0C2D,062B,0638,0680,0673
0C,0C2E,062B,0638,067F,0672
0C,0C2F,062D,063B,0681,0675
0C,0C30,062D,063C,0681,0675
0C,0C31,062D,063A,0680,0674
0C,0C32,062B,0638,0680,0673
0C,0C33,062B,0638,067F,0673
0C,0C34,062E,063A,0680,0674
0C,0C35,062E,063B,0681,0676
0C,0C36,062C,063A,0680,0674
0C,0C37,062C,0639,0680,0672
0C,0C38,062B,0638,067F,0672
0C,0C39,062D,063B,0681,0674
0C,0C3A,062D,063C,0682,0675
0C,0C3B,062C,0639,0681,0674
0C,0C3C,062B,0639,0680,0673
0C,0C3D,062A,0638,0680,0672
0C,0C3E,062D,063A,0681,0675
0C,0C3F,062D,063C,0682,0675
0C,0C40,062C,063A,0681,0674
0C,0C41,062B,0639,0680,0673
0C,0C42,062B,0638,067F,0672
0C,0C43,062D,063B,0681,0674
0C,0C44,062E,063C,0681,0676
0C,0C45,062C,063A,0681,0674
0C,0C46,062C,0639,0680,0672
0C,0C47,062B,0638,067F,0672
0C,0C48,062D,063C,0681,0674
0C,0C49,062E,063D,0682,0674
0C,0C4A,062D,063A,0681,0674
0C,0C4B,062C,0639,0680,0672
0C,0C4C,062B,0638,067F,0672
0C,0C4D,062D,063B,0680,0674
0C,0C4E,062D,063C,0682,0675
0C,0C4F,062C,063A,0681,0674
0C,0C50,062B,0638,0680,0673
0C,0C51,062A,0638,0680,0673
0C,0C52,062D,063B,0681,0675
0C,0C53,062E,063C,0681,0675
0C,0C54,062C,063A,0681,0674
0C,0C55,062C,0639,067F,0672
0C,0C56,062B,0637,067F,0672
0C,0C57,062E,063B,0680,0675
0C,0C58,062E,063C,0681,0675
0C,0C59,062C,0639,0681,0674
0C,0C5A,062B,0638,0680,0673
0C,0C5B,062B,0639,067F,0672
0C,0C5C,062D,063A,0681,0675
0C,0C5D,062E,063C,0681,0675
0C,0C5E,062D,063A,0680,0674
0C,0C5F,062C,0638,0680,0672
0C,0C60,062A,0638,0680,0673
0C,0C61,062D,063B,0681,0674
0C,0C62,062E,063B,0681,0676
0C,0C63,062D,063A,0681,0674
0C,0C64,062C,0638,0680,0673
0C,0C65,062B,0638,067F,0672
0C,0C66,062D,063B,0681,0674
0C,0C67,062E,063C,0682,0674
